input,returncode,message
/data/SoftwareTools/WAD_Software/WADplugins/pywad2/Tools/PluginTesting/TestingOutput/2015-06-30/Plugin_development/CT/CT_Catphan_500/config_catphan503_asz.000/input.xml,1,"Traceback (most recent call last):
  File "/data/SoftwareTools/WAD_Software/WADplugins/pywad2/pywadplugin.py", line 9, in <module>
    pluginWrapper(sys.argv[1])
  File "/data/SoftwareTools/WAD_Software/WADplugins/pywad2/pyWAD/base.py", line 52, in pluginWrapper
    function(plugin_data, plugin_results, params=action['params'])
  File "/data/SoftwareTools/WAD_Software/WADplugins/pywad2/Plugin_development/CT/CT_Catphan_500/Analyzer.py", line 555, in catphan500
    catphan.analyze(paramdict)
  File "/data/SoftwareTools/WAD_Software/WADplugins/pywad2/Plugin_development/CT/CT_Catphan_500/Analyzer.py", line 535, in analyze
    self.find_phan_centers(params)
  File "/data/SoftwareTools/WAD_Software/WADplugins/pywad2/Plugin_development/CT/CT_Catphan_500/Analyzer.py", line 176, in find_phan_centers
    plt.imshow(self.images[self.slices_of_interest[key],:,:])
  File "/usr/lib/pymodules/python2.7/matplotlib/pyplot.py", line 2892, in imshow
    imlim=imlim, resample=resample, url=url, **kwargs)
  File "/usr/lib/pymodules/python2.7/matplotlib/axes.py", line 7300, in imshow
    im.set_data(X)
  File "/usr/lib/pymodules/python2.7/matplotlib/image.py", line 429, in set_data
    raise TypeError("Invalid dimensions for image data")
TypeError: Invalid dimensions for image data
"
