input,returncode,message
/data/SoftwareTools/WAD_Software/WADplugins/pywad2/Tools/PluginTesting/TestingOutput/2015-06-28/NM/NM_NEMA_Uniformity/uniformity.000/input.xml,0,""
/data/SoftwareTools/WAD_Software/WADplugins/pywad2/Tools/PluginTesting/TestingOutput/2015-06-28/MRI/MRI_PIQT/qa1.000/input.xml,0,""
/data/SoftwareTools/WAD_Software/WADplugins/pywad2/Tools/PluginTesting/TestingOutput/2015-06-28/MRI/MRI_PIQT/qa2.000/input.xml,0,""
/data/SoftwareTools/WAD_Software/WADplugins/pywad2/Tools/PluginTesting/TestingOutput/2015-06-28/PET/PhilipsPETQCparser/dailyqc.000/input.xml,0,""
/data/SoftwareTools/WAD_Software/WADplugins/pywad2/Tools/PluginTesting/TestingOutput/2015-06-28/PET/PhilipsPETQCparser/dailyqc.001/input.xml,0,""
/data/SoftwareTools/WAD_Software/WADplugins/pywad2/Tools/PluginTesting/TestingOutput/2015-06-28/PET/PhilipsPETQCparser/dailyqc.002/input.xml,0,""
/data/SoftwareTools/WAD_Software/WADplugins/pywad2/Tools/PluginTesting/TestingOutput/2015-06-28/PET/PhilipsPETQCparser/dailyqc.003/input.xml,0,""
/data/SoftwareTools/WAD_Software/WADplugins/pywad2/Tools/PluginTesting/TestingOutput/2015-06-28/PET/PhilipsPETQCparser/dailyqc.004/input.xml,0,""
/data/SoftwareTools/WAD_Software/WADplugins/pywad2/Tools/PluginTesting/TestingOutput/2015-06-28/Bucky/Bucky_PEHAMED_Wellhofer/fcr.000/input.xml,0,""
/data/SoftwareTools/WAD_Software/WADplugins/pywad2/Tools/PluginTesting/TestingOutput/2015-06-28/Bucky/Bucky_PEHAMED_Wellhofer/didi.000/input.xml,0,""
/data/SoftwareTools/WAD_Software/WADplugins/pywad2/Tools/PluginTesting/TestingOutput/2015-06-28/US/US_AirReverberations/curve.000/input.xml,0,""
/data/SoftwareTools/WAD_Software/WADplugins/pywad2/Tools/PluginTesting/TestingOutput/2015-06-28/US/US_AirReverberations/rect.000/input.xml,0,""
/data/SoftwareTools/WAD_Software/WADplugins/pywad2/Tools/PluginTesting/TestingOutput/2015-06-28/CT/CT_Philips_QuickIQ/body.000/input.xml,0,""
/data/SoftwareTools/WAD_Software/WADplugins/pywad2/Tools/PluginTesting/TestingOutput/2015-06-28/CT/CT_Philips_QuickIQ/head.000/input.xml,0,""
